Director,Archetype_1,Archetype_2
Agnes Varda,Character Explorers,Spectacle Fans
Jacques Demy,Thrill Seekers,Story Lovers
Federico Fellini,Animation Admirers,World Builders
Michelangelo Antonioni,Animation Admirers,Spectacle Fans
Vittorio De Sica,Animation Admirers,Emotional Viewers
Roberto Rossellini,Animation Admirers,Story Lovers
Sergei Eisenstein,Animation Admirers,Meaning Seekers
Dziga Vertov,Story Lovers,Character Explorers
Akira Kurosawa,Comedy Lovers,Visual Stylists
Masaki Kobayashi,Animation Admirers,Thrill Seekers
Nagisa Oshima,Comedy Lovers,Thrill Seekers
Shohei Imamura,Animation Admirers,Visual Stylists
John Ford,Myth Makers,Meaning Seekers
Howard Hawks,Spectacle Fans,Myth Makers
Billy Wilder,Character Explorers,Comedy Lovers
Frank Capra,Story Lovers,World Builders
Orson Welles,Reality Explorers,Character Explorers
Sam Peckinpah,Comedy Lovers,Myth Makers
John Woo,Reality Explorers,Thrill Seekers
Ang Lee,Myth Makers,Meaning Seekers
Zhang Yimou,Reality Explorers,Spectacle Fans
Chen Kaige,Character Explorers,World Builders
Jia Zhangke,Character Explorers,Emotional Viewers
Wes Anderson,Story Lovers,Character Explorers
Richard Linklater,Myth Makers,World Builders
Harmony Korine,Meaning Seekers,Animation Admirers
David Lynch,Character Explorers,Emotional Viewers
Robert Altman,Reality Explorers,Emotional Viewers
Sidney Lumet,Emotional Viewers,Myth Makers
Oliver Stone,World Builders,Story Lovers
Tony Scott,Emotional Viewers,Character Explorers
Kathryn Bigelow,Spectacle Fans,Thrill Seekers
Neill Blomkamp,Spectacle Fans,Character Explorers
Alex Garland,Story Lovers,Thrill Seekers
Danny Boyle,Comedy Lovers,Visual Stylists
Guy Ritchie,World Builders,Visual Stylists
Rian Johnson,Spectacle Fans,Thrill Seekers
Matt Reeves,Visual Stylists,Story Lovers
James Gunn,Reality Explorers,Comedy Lovers
Ryan Coogler,Emotional Viewers,World Builders
Chad Stahelski,Visual Stylists,Animation Admirers
Gareth Evans,Character Explorers,Comedy Lovers
Lee Chang-dong,Comedy Lovers,Visual Stylists
Hwang Dong-hyuk,Character Explorers,Myth Makers
Bela Tarr,World Builders,Myth Makers
Michael Haneke,Emotional Viewers,Character Explorers
Ulrich Seidl,Emotional Viewers,Myth Makers
Fatih Akin,Reality Explorers,Myth Makers
Cristian Mungiu,World Builders,Meaning Seekers
Corneliu Porumboiu,Meaning Seekers,Animation Admirers
Radu Jude,Emotional Viewers,Comedy Lovers
Paolo Sorrentino,Thrill Seekers,Visual Stylists
Matteo Garrone,Myth Makers,Visual Stylists
Nanni Moretti,Reality Explorers,Character Explorers
Dario Argento,Story Lovers,Meaning Seekers
Luc Besson,Story Lovers,Meaning Seekers
Jean-Pierre Jeunet,World Builders,Story Lovers
Jacques Audiard,Spectacle Fans,Character Explorers
Bertrand Bonello,World Builders,Visual Stylists
Bruno Dumont,Myth Makers,Comedy Lovers
Leos Carax,Thrill Seekers,Animation Admirers
Claire Simon,Spectacle Fans,Animation Admirers
Arnaud Desplechin,Visual Stylists,World Builders
Patrice Leconte,World Builders,Animation Admirers
Olivier Assayas,Animation Admirers,Reality Explorers
Kenji Mizoguchi,Thrill Seekers,World Builders
Yasujiro Ozu,World Builders,Myth Makers
Hiroshi Teshigahara,Emotional Viewers,World Builders
Shinya Tsukamoto,Visual Stylists,Myth Makers
Takashi Miike,Character Explorers,Animation Admirers
Kiyoshi Kurosawa,Spectacle Fans,Meaning Seekers
Sion Sono,Visual Stylists,Comedy Lovers
Naomi Kawase,World Builders,Myth Makers
Ryusuke Hamaguchi,Reality Explorers,Meaning Seekers
Shunji Iwai,Emotional Viewers,Story Lovers
Walter Hill,Thrill Seekers,Spectacle Fans
Richard Donner,Reality Explorers,Meaning Seekers
Joel Schumacher,Emotional Viewers,Spectacle Fans
Barry Levinson,Spectacle Fans,Character Explorers
Alan Parker,Animation Admirers,Visual Stylists
John McTiernan,Emotional Viewers,World Builders
Ron Howard,Story Lovers,Emotional Viewers
Robert Zemeckis,Visual Stylists,Emotional Viewers
Gore Verbinski,Emotional Viewers,Reality Explorers
Sam Raimi,Story Lovers,Thrill Seekers
Robert Rodriguez,Story Lovers,Character Explorers
Guillermo Arriaga,Meaning Seekers,Reality Explorers
Michel Gondry,Meaning Seekers,Spectacle Fans
Spike Jonze,Reality Explorers,Spectacle Fans
Charlie Kaufman,Myth Makers,Thrill Seekers
Todd Haynes,Visual Stylists,Story Lovers
Todd Phillips,Animation Admirers,Spectacle Fans
Damien Chazelle,World Builders,Animation Admirers
Baz Luhrmann,Visual Stylists,Thrill Seekers
Peter Weir,Emotional Viewers,Visual Stylists
Jane Campion,Visual Stylists,Spectacle Fans
Lynne Ramsay,Thrill Seekers,Meaning Seekers
Andrea Arnold,Visual Stylists,Myth Makers
Susanne Bier,Thrill Seekers,Visual Stylists
Lone Scherfig,Reality Explorers,Visual Stylists
Thomas Vinterberg,Visual Stylists,Thrill Seekers
Lukas Moodysson,Story Lovers,Myth Makers
Roy Andersson,Story Lovers,Character Explorers
Erik Poppe,Myth Makers,Spectacle Fans
Bent Hamer,Meaning Seekers,Animation Admirers
Uwe Boll,Character Explorers,Story Lovers
Roland Emmerich,Emotional Viewers,Animation Admirers
Wolfgang Petersen,Animation Admirers,Reality Explorers
Tom Tykwer,Visual Stylists,Animation Admirers
Florian Henckel von Donnersmarck,Animation Admirers,Myth Makers
Christian Petzold,Comedy Lovers,Spectacle Fans
Edward Berger,Reality Explorers,Visual Stylists
Dennis Gansel,Myth Makers,Comedy Lovers
Werner Herzog,Visual Stylists,Comedy Lovers
Wim Wenders,Meaning Seekers,Character Explorers
Volker Schlondorff,Comedy Lovers,Story Lovers
Margarethe von Trotta,Animation Admirers,Myth Makers
Rainer Werner Fassbinder,Character Explorers,Meaning Seekers
Michael Cimino,Visual Stylists,World Builders
William Friedkin,Thrill Seekers,Spectacle Fans
Brian Singer,Visual Stylists,Reality Explorers
Bryan Cranston,Comedy Lovers,Story Lovers
Kevin Smith,Comedy Lovers,Reality Explorers
Richard Kelly,Visual Stylists,Story Lovers
John Singleton,Spectacle Fans,Character Explorers
F. Gary Gray,Myth Makers,Visual Stylists
Antoine Fuqua,Thrill Seekers,Visual Stylists
Gary Ross,Spectacle Fans,Comedy Lovers
James Mangold,Reality Explorers,Emotional Viewers
David Ayer,Comedy Lovers,Meaning Seekers
Zack Braff,Meaning Seekers,Emotional Viewers
Ben Affleck,Visual Stylists,Thrill Seekers
George Clooney,Visual Stylists,Thrill Seekers
Mel Gibson,Comedy Lovers,World Builders
Clint Eastwood,Meaning Seekers,Story Lovers
Kevin Costner,Character Explorers,Spectacle Fans
Robert Redford,World Builders,Character Explorers
Sean Penn,Reality Explorers,Emotional Viewers
Angelina Jolie,Meaning Seekers,Story Lovers
Denzel Washington,Reality Explorers,Comedy Lovers
Sylvester Stallone,Character Explorers,Emotional Viewers
Kenneth Branagh,Meaning Seekers,Character Explorers
Joe Wright,Visual Stylists,Reality Explorers
Matthew Vaughn,Thrill Seekers,Character Explorers
Paul Greengrass,Myth Makers,World Builders
Doug Liman,Story Lovers,Spectacle Fans
Andrew Stanton,Myth Makers,Spectacle Fans
Lee Daniels,Visual Stylists,Story Lovers
Gus Van Sant,Comedy Lovers,Meaning Seekers
Larry Clark,Story Lovers,Animation Admirers
Kelly Fremon Craig,Myth Makers,Emotional Viewers
Destin Daniel Cretton,Comedy Lovers,Story Lovers
Jon Watts,Meaning Seekers,Spectacle Fans
Shawn Levy,Spectacle Fans,Visual Stylists
Marc Webb,Character Explorers,Story Lovers
Sam Mendes,Character Explorers,World Builders
Peter Berg,Emotional Viewers,World Builders
Joseph Kosinski,Comedy Lovers,Myth Makers
Colin Trevorrow,Spectacle Fans,Thrill Seekers
Josh Trank,Story Lovers,Reality Explorers
David Yates,Animation Admirers,Emotional Viewers
Chris Columbus,Character Explorers,Comedy Lovers
Alfonso Gomez-Rejon,Comedy Lovers,Character Explorers
